Instance,Strategy,Average,Std Dev,Min,Max,Median,Q1,Q3,CV(%),Range,IQR
ft06.txt,DE/rand/1,55.18,1.5451860729374953,53,58,55.0,54.0,56.0,2.8002647208001004,5,2.0
ft06.txt,DE/best/1,55.4,1.7663521732655696,52,58,56.0,54.0,57.0,3.188361323584061,6,3.0
ft06.txt,DE/rand-to-best/1,54.76,1.8927229062913569,50,59,55.0,54.0,56.0,3.4563968339871383,9,2.0
la01.txt,DE/rand/1,781.58,22.24777741708147,724,833,782.0,768.5,795.25,2.846513142235148,109,26.75
la01.txt,DE/best/1,781.78,24.670865408412407,704,820,782.5,766.0,801.75,3.1557299250956032,116,35.75
la01.txt,DE/rand-to-best/1,783.48,22.625861309572286,730,822,784.5,772.25,802.0,2.8878671197187273,92,29.75
ft10.txt,DE/rand/1,1143.96,30.93603723814672,1041,1187,1153.0,1123.25,1166.0,2.7042936149993637,146,42.75
ft10.txt,DE/best/1,1145.3,32.97165449291255,1056,1198,1151.0,1123.5,1169.5,2.8788661916452063,142,46.0
ft10.txt,DE/rand-to-best/1,1151.9,34.74953237095429,1079,1217,1159.0,1131.25,1172.75,3.0167143303198447,138,41.5
la16.txt,DE/rand/1,1255.18,38.89251341839455,1150,1323,1257.5,1232.0,1283.0,3.0985606381869175,173,51.0
la16.txt,DE/best/1,1250.22,37.54372917012906,1161,1318,1261.0,1229.0,1276.0,3.0029698109236023,157,47.0
la16.txt,DE/rand-to-best/1,1254.56,35.0919705915755,1196,1325,1262.5,1223.75,1281.0,2.797153630880588,129,57.25
abz5.txt,DE/rand/1,1756.5,62.36353100971753,1605,1859,1774.0,1700.0,1803.0,3.5504429837584706,254,103.0
abz5.txt,DE/best/1,1774.08,49.6507160069218,1609,1859,1774.5,1745.5,1815.25,2.7986740173454296,250,69.75
abz5.txt,DE/rand-to-best/1,1780.38,55.459495129328396,1656,1861,1791.5,1745.0,1821.0,3.1150369656662282,205,76.0
